year,days,fixed_jumps_per_day,adaptive_jumps_per_day
2021,1.0,0.0,0.0
2022,247.0,2.0607287449392713,2.2955465587044532
2023,231.0,2.6796536796536796,2.1774891774891776
2024,248.0,1.5120967741935485,1.7943548387096775
