date,Z,day_true,sig
2021-12-30,-243.87728312679002,1,True
2022-01-02,-292.4942801674909,1,True
2022-01-03,-388.5834818626707,1,True
2022-01-04,-291.50245549572696,1,True
2022-01-05,-306.24955509735565,1,True
2022-01-06,-348.4616204414939,1,True
2022-01-09,-362.15410169429884,1,True
2022-01-10,-370.803205746174,1,True
2022-01-11,-430.6070723023064,1,True
2022-01-12,-409.54248372628626,1,True
2022-01-13,-362.1832640052741,1,True
2022-01-16,-390.8795614080819,1,True
2022-01-17,-262.2620066970827,1,True
2022-01-18,-206.05251916156922,1,True
2022-01-19,-303.4824182195581,1,True
2022-01-20,-323.3432325551551,1,True
2022-01-23,-374.69586489027023,1,True
2022-01-24,-204.36078438721358,1,True
2022-01-25,-218.1656546189463,1,True
2022-01-26,-351.81890144911216,1,True
2022-01-30,-351.1587089289479,1,True
2022-01-31,-392.0509120036005,1,True
2022-02-01,-356.5639727787158,1,True
2022-02-02,-197.51257982251548,1,True
2022-02-03,-165.94235498205737,1,True
2022-02-06,-408.72951638180984,1,True
2022-02-07,-419.50987918807175,1,True
2022-02-08,-323.93626589435615,1,True
2022-02-09,-286.2491957292301,1,True
2022-02-10,-197.02326030550685,1,True
2022-02-13,-408.1032715992743,1,True
2022-02-14,-356.4409466473475,1,True
2022-02-15,-372.39986292479193,1,True
2022-02-16,-309.89387299061985,1,True
2022-02-17,-404.7199740018994,1,True
2022-02-20,-266.0351488848882,1,True
2022-02-21,-393.5403039369503,1,True
2022-02-22,-324.1790497108902,1,True
2022-02-23,-339.0894087994836,1,True
2022-02-24,-384.4595250590183,1,True
2022-02-27,-368.99711873235816,1,True
2022-02-28,-420.333691670751,1,True
2022-03-01,-446.69242367880645,1,True
2022-03-02,-499.6632381776866,1,True
2022-03-03,-394.8068026878839,1,True
2022-03-06,-352.6195311606724,1,True
2022-03-07,-319.660797624999,1,True
2022-03-08,-406.3061253530684,1,True
2022-03-09,-421.36817589697364,1,True
2022-03-10,-347.52123842211387,1,True
2022-03-13,-375.40336282504927,1,True
2022-03-14,-423.17340636660833,1,True
2022-03-15,-330.7021211507009,1,True
2022-03-16,-466.9883878309202,1,True
2022-03-17,-326.0058945550758,1,True
2022-03-20,-352.4663889952631,1,True
2022-03-21,-293.9471190237691,1,True
2022-03-22,-448.2275886713184,1,True
2022-03-23,-331.26793093451005,1,True
2022-03-24,-376.9428294262245,1,True
2022-03-27,-318.49274522593083,1,True
2022-03-28,-244.37869466841371,1,True
2022-03-31,-365.8810692985511,1,True
2022-04-03,-362.4786614222912,1,True
2022-04-04,-299.46315807586655,1,True
2022-04-05,-408.33302060443555,1,True
2022-04-06,-383.22822056597215,1,True
2022-04-07,-313.94333930183296,1,True
2022-04-10,-285.4081778841971,1,True
2022-04-11,-353.21127939711596,1,True
2022-04-12,-484.92336594477416,1,True
2022-04-13,-368.9227670811866,1,True
2022-04-17,-384.11428341286575,1,True
2022-04-18,-284.16899541871845,1,True
2022-04-19,-475.24775419085097,1,True
2022-04-20,-425.699931720623,1,True
2022-04-21,-341.50053176775873,1,True
2022-04-24,-313.9382342325222,1,True
2022-04-25,-457.4371480155571,1,True
2022-04-26,-318.96281806303136,1,True
2022-04-27,-413.79580609679476,1,True
2022-04-28,-431.64962315794304,1,True
2022-05-01,-337.6356497344413,1,True
2022-05-02,-496.66182477644116,1,True
2022-05-03,-176.78814634758155,1,True
2022-05-04,-453.2540064383157,1,True
2022-05-05,-303.8174565908298,1,True
2022-05-08,-417.6842368999982,1,True
2022-05-09,-331.1338725530819,1,True
2022-05-10,-306.4153197432947,1,True
2022-05-11,-318.1506626149786,1,True
2022-05-12,-304.35252881193014,1,True
2022-05-15,-279.19367981787354,1,True
2022-05-16,-403.21119188943754,1,True
2022-05-17,-398.6956016465579,1,True
2022-05-18,-288.0285929532075,1,True
2022-05-19,-366.1454651921523,1,True
2022-05-22,-449.0546041006301,1,True
2022-05-23,-329.2348566073339,1,True
2022-05-24,-387.09060232797174,1,True
2022-05-25,-413.38792527110564,1,True
2022-05-31,-355.01321028412093,1,True
2022-06-01,-337.22638475837937,1,True
2022-06-02,-343.08435173464494,1,True
2022-06-05,-309.2458583165871,1,True
2022-06-06,-363.22644709744947,1,True
2022-06-07,-331.1171437723574,1,True
2022-06-08,-288.2588997289876,1,True
2022-06-09,-278.382854612584,1,True
2022-06-12,-398.6493974158443,1,True
2022-06-13,-440.47582455069926,0,True
2022-06-14,-257.6571677850502,1,True
2022-06-15,-355.89795518549465,1,True
2022-06-16,-451.7501134078628,1,True
2022-06-19,-298.1722211008412,1,True
2022-06-20,-387.89485312021725,1,True
2022-06-21,-338.4712849568498,1,True
2022-06-22,-368.0874602237866,1,True
2022-06-23,-349.84586924541424,1,True
2022-06-26,-425.14418007525705,1,True
2022-06-27,-346.57097254990674,1,True
2022-06-28,-245.3842071979999,1,True
2022-06-29,-185.62690378861794,1,True
2022-06-30,-333.80526214613445,1,True
2022-07-03,-384.69103162923415,1,True
2022-07-04,-185.01638843753753,1,True
2022-07-05,-287.7018163735141,1,True
2022-07-06,-452.56448866456503,1,True
2022-07-07,-360.6693281596843,1,True
2022-07-10,-436.4319512517026,1,True
2022-07-11,-339.58516913162725,1,True
2022-07-12,-208.77684653099323,1,True
2022-07-13,-334.93507191267724,1,True
2022-07-14,-360.5755261746381,1,True
2022-07-17,-407.46813963912047,1,True
2022-07-18,-390.7115206722499,1,True
2022-07-19,-392.6662646214689,1,True
2022-07-20,-300.03782145634096,1,True
2022-07-21,-244.71067079210925,1,True
2022-07-24,-453.023009349315,1,True
2022-07-25,-409.2747732503188,1,True
2022-07-26,-193.32770449744623,1,True
2022-07-31,-380.92501801218344,1,True
2022-08-01,-387.59633801115626,1,True
2022-08-02,-324.6757486346266,1,True
2022-08-03,-386.5955232987103,1,True
2022-08-04,-184.62729885637972,1,True
2022-08-07,-449.6346609004756,1,True
2022-08-08,-401.45558426348765,1,True
2022-08-09,-195.5125583503602,1,True
2022-08-10,-375.09943879312834,1,True
2022-08-11,-401.3388125167089,1,True
2022-08-14,-266.477500153367,1,True
2022-08-15,-402.467597061441,1,True
2022-08-16,-414.59163325349454,1,True
