feature,importance
abs_rstar9,0.007916666666666683
spread,0.006305555555555564
depth,0.006277777777777753
force_ma5,0.0046666666666666705
rv_past_15,0.00419444444444439
D_lag1,0.0022499999999999742
illiquidity,0.0013888888888888469
obv_chg,0.0009722222222222262
minute,0.00036111111111110833
order_imb_ma5,0.00019444444444442302
sentiment_ma15,5.555555555554944e-05
jump9_lag1,0.0
hour,0.0
rv_past_60,-0.0005555555555555683
jump_count_30,-0.0007222222222222537
buzz_ma15,-0.001388888888888884
