fold,train_years,test_year,model,strategy,n_train,train_pos_rate,precision,recall,f1,roc_auc,pr_auc
0,2021,2022,logreg,none,950,0.0568421052631578,0.3670955006466544,0.1375730210964006,0.2001410227863133,0.5378752290504416,0.2085817846795826
0,2021,2022,histgb,none,950,0.0568421052631578,0.1438710856585841,0.1204816203668273,0.1311416235127518,0.6370462530937516,0.157532636956285
0,2021,2022,logreg,class_weight,950,0.0568421052631578,0.216031773896252,0.2511415525114155,0.2322673492739433,0.5141213426731276,0.1823554296529446
0,2021,2022,histgb,class_weight,950,0.0568421052631578,0.1152726952074423,0.1333894543506543,0.123671109113915,0.5832897935514336,0.1346749751412416
0,2021,2022,logreg,smote,1280,0.3,0.229665459655191,0.2168056937323027,0.2230503759497159,0.5112389772550259,0.1803099661938546
0,2021,2022,histgb,smote,1280,0.3,0.1198481099069886,0.1433126705951379,0.1305342890667658,0.6802913450410668,0.1752491636272519
0,2021,2022,logreg,adasyn,1281,0.3005464480874317,0.2082559234469244,0.2087446748807428,0.2085000127398272,0.5083405037478052,0.1691766595260176
0,2021,2022,histgb,adasyn,1281,0.3005464480874317,0.1219565869760928,0.1555062370857886,0.1367030699885632,0.6161690187814459,0.1395813583080559
1,"2021,2022",2023,logreg,none,337116,0.1164435980493361,0.6023365535834644,0.4322450624748085,0.5033087717651477,0.9027499478284258,0.5519644274569228
1,"2021,2022",2023,histgb,none,337116,0.1164435980493361,0.6576741604218707,0.4775493752519145,0.5533216579100992,0.9295957460555172,0.6278474428471476
1,"2021,2022",2023,logreg,class_weight,337116,0.1164435980493361,0.294289413118527,0.824627166465135,0.4337750450545956,0.9057098919216584,0.5467819974476053
1,"2021,2022",2023,histgb,class_weight,337116,0.1164435980493361,0.3335394960115451,0.8477226924627167,0.4787235253280526,0.9286698702134228,0.627007455599007
1,"2021,2022",2023,logreg,smote,425515,0.2999988249532919,0.4173840809545386,0.6683192261185006,0.5138527333581256,0.9045722617398751,0.5496239871743521
1,"2021,2022",2023,histgb,smote,425515,0.2999988249532919,0.4664013303164954,0.6896009673518743,0.5564535800822857,0.9268566671308416,0.6190037646303331
1,"2021,2022",2023,logreg,adasyn,422149,0.2944173739603789,0.3999253435363833,0.6909310761789601,0.5066126815716756,0.9041054198696992,0.550157735760682
1,"2021,2022",2023,histgb,adasyn,422149,0.2944173739603789,0.4573319982198487,0.6627166465135026,0.5411935091010829,0.9180142293568256,0.5976273503666335
2,"2021,2022,2023",2024,logreg,none,651154,0.09838686393694886,0.7120669862921196,0.3030869165325362,0.4251930404628939,0.8780142308288568,0.5548906250298034
2,"2021,2022,2023",2024,histgb,none,651154,0.09838686393694886,0.7024801348422827,0.4192630489767763,0.52511834692298,0.9093367987439458,0.6277063258445057
2,"2021,2022,2023",2024,logreg,class_weight,651154,0.09838686393694886,0.3582143153125777,0.7454012416647505,0.48388842242746527,0.8810225308188823,0.5521482367691206
2,"2021,2022,2023",2024,histgb,class_weight,651154,0.09838686393694886,0.3458562626405155,0.8453954932168315,0.49088754631329484,0.9096904445029657,0.6278334666754942
2,"2021,2022,2023",2024,logreg,smote,838698,0.29999952307028277,0.49851437780127916,0.5690388595079329,0.5314471317746222,0.879844471584283,0.5539111974097158
2,"2021,2022,2023",2024,histgb,smote,838698,0.29999952307028277,0.47585303400226286,0.689037709818349,0.5629380892557326,0.9065089364002032,0.622334844484525
2,"2021,2022,2023",2024,logreg,adasyn,839485,0.3006557591856912,0.4874948047820453,0.5731202575304668,0.5268511790739151,0.8783788179531363,0.549778717866519
2,"2021,2022,2023",2024,histgb,adasyn,839485,0.3006557591856912,0.4482691823412045,0.6651241664750517,0.5355783139501245,0.8953560170099323,0.5880724127256071
