model,strategy,precision,recall,f1,roc_auc,pr_auc
histgb,adasyn,0.34251925584571535,0.49444901669144764,0.40449163101325686,0.809846421716068,0.4417603738000988
histgb,class_weight,0.2648894846198343,0.6088358800100675,0.36442739358508747,0.8072167027559406,0.4631719658052476
histgb,none,0.5013417936409125,0.3390980148651727,0.40319387611527696,0.8253262659644048,0.47102880188264606
histgb,smote,0.3540341580752489,0.507317115921787,0.41664198613492803,0.8378856495240372,0.47219592424737006
logreg,adasyn,0.3652253572551177,0.4909320028633899,0.4139879577951393,0.7636082471902136,0.42303770438440624
logreg,class_weight,0.2895118341091189,0.6070566535471004,0.38331027225200137,0.7669512551378895,0.42709522128989014
logreg,none,0.5604996801740795,0.2909683333679151,0.3762142783381183,0.7728798025692414,0.43847894572210294
logreg,smote,0.3818546394703362,0.48472125978624536,0.42278341369415456,0.7652185701930613,0.4279483835926408
